duration,serializeType,applicationCpuLoad,swapUseMemory,concurrentlyMonitoringCount,systemCpuLoad,systemUseMemory,rowsCount,applicationUseMemory,columnsCount,freeMemory
672,1,0.013342440801457195,0,1,0.03362407173882584,8803340288,3100,4156030976,10,3675615232
569,1,0.015678097003398207,0,1,0.03897665797357588,8803381248,3200,4156030976,10,3675574272
680,1,0.017075045930186116,0,1,0.02915190861110624,8803389440,3300,4157079552,10,3674517504
669,1,0.018936989245376682,0,1,0.02659915219794146,8803250176,3400,4157079552,10,3674656768
815,1,0.019160311233481966,0,1,0.03684323806275026,8803463168,3500,4157079552,10,3674443776
568,1,0.019056776556776556,0,1,0.0378312617260788,8803430400,3600,4157079552,10,3674476544
890,1,0.10953790423450141,0,1,0.1255946571950211,9190969344,3700,4157079552,10,3673862144
674,1,0.015288194526855434,0,1,0.02502455847488245,9191452672,3800,3770155008,10,3673378816
777,1,0.04802951950010774,0,1,0.0699284742039405,9041735680,3900,3927965696,10,3665285120
583,1,0.017471029687672442,0,1,0.04453523998717686,9041973248,4000,3927965696,10,3665047552
830,1,0.022068729059250388,0,1,0.04206191284720918,9101512704,4100,3868721152,10,3664752640
570,1,0.019265402843601898,0,1,0.04008081176327622,9101778944,4200,3868721152,10,3664486400
995,1,0.016390544630563813,0,1,0.026609706062292612,9066631168,4300,3903848448,10,3664506880
826,1,0.018970394059784377,0,1,0.049174359765781335,9151037440,4400,3819438080,10,3664510976
773,1,0.021565868373615866,0,1,0.04912629216789905,9150996480,4500,3819438080,10,3664551936
777,1,0.014221938775510205,0,1,0.02505559916274202,9106878464,4600,3864002560,10,3664105472
703,1,0.0194314179515503,0,1,0.03987191860774822,9118826496,4700,3851943936,10,3664216064
1442,1,0.014930280353341898,0,1,0.029504845004798868,9169158144,4800,3801612288,10,3664216064
670,1,0.015690649387696886,0,1,0.05124816555474524,9169346560,4900,3801612288,10,3664027648
893,1,0.017217883801645035,0,1,0.02875104231811549,9125793792,5000,3845128192,10,3664064512
715,1,0.025629040580528048,0,1,0.037859404015603774,9220513792,5100,3750232064,10,3664240640
836,1,0.024158561570715355,0,1,0.0414952267887365,9261600768,5200,3708813312,10,3664572416
1543,1,0.014010139520343603,0,1,0.029538418276596475,9287430144,5300,3683123200,10,3664433152
744,1,0.022195134071197598,0,1,0.04861977689544337,9292406784,5400,3678404608,10,3664175104
930,1,0.022566691066928272,0,1,0.03753071115875994,9272193024,5500,3698851840,10,3663941632
916,1,0.01898257437520937,0,1,0.034020425712498886,9272131584,5600,3698851840,10,3664003072
904,1,0.017322637696292546,0,1,0.0364746749963408,9272279040,5700,3698851840,10,3663855616
987,1,0.020507112580283312,0,1,0.03593143532167922,9271992320,5800,3698851840,10,3664142336
955,1,0.018526968407267967,0,1,0.036306576362743495,9271963648,5900,3698851840,10,3664171008
1205,1,0.02517646211466436,0,1,0.037551858254105445,9271341056,6000,3698851840,10,3664793600
1015,1,0.022209323620201765,0,1,0.040953467776793026,9272086528,6100,3698851840,10,3664048128
956,1,0.021186607416763262,0,1,0.036821401970724574,9272438784,6200,3698851840,10,3663695872
1042,1,0.04594099221559263,0,1,0.06310371035721689,9566339072,6300,3698851840,10,3369795584
1028,1,0.028069626850114653,0,1,0.04374609130706692,9566146560,6400,3698851840,10,3369988096
1479,1,0.023786315238775245,0,1,0.04763164323968134,9566232576,6500,3698851840,10,3369902080
1004,1,0.026329839254596536,0,1,0.05324582252343915,9566101504,6600,3698851840,10,3370033152
912,1,0.025194709210569627,0,1,0.05178138951110372,9566502912,6700,3698851840,10,3369631744
1051,1,0.02069789801211852,0,1,0.02846277380152719,9566539776,6800,3698851840,10,3369594880
1111,1,0.023534798534798534,0,1,0.038970288970288966,9567080448,6900,3698851840,10,3369054208
913,1,0.026119972774337342,0,1,0.03737887460207742,9567232000,7000,3698851840,10,3368902656
3644,1,0.004795866305938857,0,1,0.0511965889521197,9614761984,7100,3698851840,10,3321372672
2641,1,0.010409293298467152,0,1,0.05721844074429581,9602486272,7200,3698851840,10,3333648384
1130,1,0.020667665667665668,0,1,0.040567557442557446,9602670592,7300,3698851840,10,3333464064
982,1,0.021761133603238864,0,1,0.04304931536157467,9602932736,7400,3698851840,10,3333201920
1105,1,0.023764468390646956,0,1,0.04025953721075673,9568075776,7500,3698851840,10,3368058880
1314,1,0.012627297286859738,0,1,0.02480983605459146,9567940608,7600,3698851840,10,3368194048
1692,1,0.017026573662787543,0,1,0.026218543456024757,9567961088,7700,3698851840,10,3368173568
1410,1,0.021236561426189907,0,1,0.039410493194567804,9568026624,7800,3698851840,10,3368108032
1520,1,0.01436394068318753,0,1,0.027534165499699115,9568198656,7900,3698851840,10,3367936000
1202,1,0.018555681251824097,0,1,0.039947557572162104,9568108544,8000,3698851840,10,3368026112
1432,1,0.031689493122874085,0,1,0.042545991360993664,9568108544,8100,3698851840,10,3368026112
1132,1,0.02647354367942604,0,1,0.03557573741935292,9567850496,8200,3698851840,10,3368284160
1290,1,0.02588291976201884,0,1,0.043938551232284455,9567678464,8300,3698851840,10,3368456192
1206,1,0.03261720242416406,0,1,0.05289418256295324,9567928320,8400,3698851840,10,3368206336
1113,1,0.01828364137070177,0,1,0.04459227811083727,9567858688,8500,3698851840,10,3368275968
1184,1,0.024255481382970075,0,1,0.040670056226339776,9567866880,8600,3698851840,10,3368267776
1307,1,0.020302928275111303,0,1,0.03598072625486453,9567555584,8700,3698851840,10,3368579072
1318,1,0.017520989855043273,0,1,0.031201198094203995,9567952896,8800,3698851840,10,3368181760
1861,1,0.01538322513576554,0,1,0.03264719577547874,9568100352,8900,3698851840,10,3368034304
1436,1,0.022189493385709802,0,1,0.041610286533546,9567789056,9000,3698851840,10,3368345600
1129,1,0.01858715437968804,0,1,0.030310659278328024,9567707136,9100,3698851840,10,3368427520
1378,1,0.017692546057343574,0,1,0.03187461985750448,9567637504,9200,3698851840,10,3368497152
1307,1,0.030020591787188713,0,1,0.05256774964108027,9567772672,9300,3698851840,10,3368361984
1116,1,0.01965970158643115,0,1,0.04443678608075956,9567682560,9400,3698851840,10,3368452096
1253,1,0.017670472474611423,0,1,0.03478554718392117,9567682560,9500,3698851840,10,3368452096
1407,1,0.018364719216112404,0,1,0.03441504792831909,9567543296,9600,3698851840,10,3368591360
1617,1,0.01754219107718985,0,1,0.032258283593616995,9567776768,9700,3698851840,10,3368357888
1361,1,0.015318786030823798,0,1,0.02278746965509357,9567862784,9800,3698851840,10,3368271872
1431,1,0.025403538547169983,0,1,0.04721427072375583,9572274176,9900,3698851840,10,3363860480
1429,1,0.01597614791898453,0,1,0.03443530841439109,9573085184,10000,3698851840,10,3363049472
1380,1,0.021629762562954503,0,1,0.033198776107047585,9573068800,10100,3698851840,10,3363065856
2911,1,0.013551716829423289,0,1,0.02885807650249242,9572880384,10200,3698851840,10,3363254272
2626,1,0.008958036787093561,0,1,0.05713915955447931,9572831232,10300,3698851840,10,3363303424
1450,1,0.015064172192640644,0,1,0.0961027767860986,9573195776,10400,3698851840,10,3362938880
1409,1,0.016330983788954426,0,1,0.029974579489124586,9572958208,10500,3698851840,10,3363176448
1934,1,0.009532564817563698,0,1,0.02737570067829665,9573085184,10600,3698851840,10,3363049472
1360,1,0.01785385353830217,0,1,0.04746207041540182,9572687872,10700,3698851840,10,3363446784
2138,1,0.01686034160872856,0,1,0.0325101287428501,9573433344,10800,3698851840,10,3362701312
1445,1,0.015679423919840237,0,1,0.04491418242713567,9573445632,10900,3698851840,10,3362689024
1576,1,0.021668517313116618,0,1,0.043856870380247735,9573281792,11000,3698851840,10,3362852864
498,1,0.013708019191226868,0,1,0.03682219138846632,9573203968,100,3698851840,15,3362930688
319,1,0.1397461423593828,0,1,0.14995022399203586,9573253120,200,3698851840,15,3362881536
296,1,0.0826176571624871,0,1,0.09318103744417724,9573253120,300,3698851840,15,3362881536
290,1,0.05963302752293578,0,1,0.0901767733273663,9573507072,400,3698851840,15,3362627584
353,1,0.14625850340136054,0,1,0.17576530612244898,9573552128,500,3698851840,15,3362582528
